,Distribution South,Distribution North,The Warehouse Atrium,The Warehouse Newmarket,The Warehouse Royal Oak,The Warehouse St Lukes,The Warehouse Mt Roskill,The Warehouse Lunn Avenue,The Warehouse Sylvia Park,The Warehouse New Lynn,The Warehouse Glenfield Mall,The Warehouse WestCity,The Warehouse Westgate,The Warehouse Lincoln Road,The Warehouse Milford,The Warehouse Albany,The Warehouse Pakuranga,The Warehouse Botany Downs,The Warehouse Manukau,The Warehouse Airport,The Warehouse Clendon,The Warehouse Takanini,Noel Leeming Penrose Clearance,Noel Leeming Lunn Avenue,Noel Leeming Sylvia Park,Noel Leeming Newmarket,Noel Leeming Royal Oak,Noel Leeming Botany,Noel Leeming Queen Street,Noel Leeming St Lukes Westfield,Noel Leeming St Lukes Mega,Noel Leeming New Lynn,Noel Leeming Glenfield Clearance,Noel Leeming Wairau Park,Noel Leeming Henderson,Noel Leeming Albany,Noel Leeming Massey,Noel Leeming Ormiston,Noel Leeming Papatoetoe,Noel Leeming Manukau Supa Centre,Noel Leeming Manukau Westfield,Noel Leeming Papakura
Distribution South,0,34264.52,26917.99,26005.25,15598.25,22543.42,18019.41,20497.7,16501.92,24191.13,40341.87,31726.96,34513.49,32192.85,37990.53,43597.77,19844.2,12138.1,3966.15,12995.51,2877.58,13767.12,20567.02,20536.54,16453.93,23715.94,15717.95,11996.25,27233.78,22727.78,22597.13,23615.15,37696.07,37696.07,32272.07,43311.95,34316.07,9602.59,7054.7,4729.03,3792.93,17906.77
Distribution North,35439.31,0,9656.05,12629.57,16592.49,14708.1,20108.11,18827.22,20412,19504.98,7364.85,29920.97,20818.02,26078.87,5013.5,10620.75,22992.7,27418.47,29533.96,33883.7,37175.68,37508.16,18607.22,18788.48,20364.01,12156.29,16716.14,27361.13,9080.26,14609.95,14761.8,19856.74,4719.05,4719.05,26158.09,10334.93,20620.6,33233.46,26710.54,30039.06,30019.46,41647.81
The Warehouse Atrium,27766.46,8182.09,0,4956.71,8919.64,7738.9,13138.91,11154.37,12739.15,12535.79,14259.44,16496.78,19283.31,16962.67,11908.1,17515.34,15319.85,19745.62,21861.11,26914.5,29502.83,29835.3,10934.37,11115.62,12691.16,4483.44,9043.29,19688.28,403.79,7640.76,7792.6,12887.54,11613.64,11613.64,17041.89,17229.52,19085.89,25560.61,19037.69,22366.21,22346.61,33974.96
The Warehouse Newmarket,24417.75,11611.96,4265.44,0,5955.88,8401.02,13801.03,7805.66,9390.44,13197.91,17689.31,17158.9,19945.43,17624.79,15337.97,20945.21,11971.14,16396.91,18512.4,27576.62,26154.12,26486.59,7585.66,7766.91,9342.45,875,6079.52,16339.57,3625.24,8302.88,8454.73,13549.66,15043.52,15043.52,17704.01,20659.39,19748.01,22211.9,15688.98,19017.5,18997.89,30626.24
The Warehouse Royal Oak,15533.03,15416.04,8069.52,5960.86,0,6086.46,4516.28,7717.26,8522.83,10688,21493.39,18223.83,21010.36,18689.72,19142.05,24749.29,10199.73,14625.5,15781.04,11611.56,17269.4,24152.67,5559.88,7678.51,8474.85,5271.44,119.7,24092.02,8385.31,6270.81,6140.16,10112.02,18847.6,18847.6,18768.94,24463.47,20812.94,21698.36,15565.44,15818.96,15858.82,28292.33
The Warehouse St Lukes,22559.22,14301.16,5587.56,9214.18,6133.03,0,3906.04,15411.84,16996.61,8140.04,20378.51,12758.76,15545.29,13224.64,18027.17,23634.41,19577.32,24003.09,22807.24,18637.75,24295.59,31178.87,15191.84,15373.09,16948.63,8740.91,6256.67,23945.75,8554.99,561.68,402.63,7564.06,17732.72,17732.72,13303.86,23348.59,15347.87,29818.08,23295.16,22845.15,22885.02,35318.52
The Warehouse Mt Roskill,18048.2,19028.64,13379.55,13941.66,4364.08,3828.15,0,20139.32,21724.09,6643.34,25105.99,14163.62,16950.15,14629.51,22754.65,28361.89,14197.37,26749.05,18296.21,14126.73,19784.57,26667.85,10494.3,20100.57,21676.11,13468.39,4483.78,26607.2,13282.47,4012.5,3881.85,6067.36,22460.2,22460.2,14708.73,28076.07,16752.73,24213.53,18080.61,18334.13,18374,30807.5
The Warehouse Lunn Avenue,20524.07,17007.72,9661.2,6614.15,7751.26,13796.78,19196.79,0,5083.81,18593.67,23085.07,22554.66,25341.19,23020.54,20733.73,26340.97,5029.68,9581.82,14618.73,17757.83,22260.44,22592.92,4193.47,38.84,5035.82,6459.14,7631.56,9524.48,9976.98,13698.64,13850.49,18945.42,20439.28,20439.28,23099.77,26055.15,25143.77,18318.22,11795.3,15123.82,15104.22,26732.57
The Warehouse Sylvia Park,16405,19451.58,12105.06,11192.31,11330.31,16240.64,21640.65,5027.75,0,21037.53,25528.93,24998.52,27785.05,25464.41,23177.59,28784.83,5094.72,12161.83,10499.65,24466.42,18141.37,18473.84,2916.99,5066.59,47.99,8903,9268.31,12903.05,12420.85,16142.5,16294.35,21389.28,22883.14,22883.14,25543.63,28499.01,27587.63,14199.15,7676.23,11004.75,10985.14,22613.49
The Warehouse New Lynn,24391.05,19627.61,13978.52,14540.63,10706.93,7729.14,6704.23,20738.29,22323.06,0,25704.96,6707.61,14567.21,8758.45,23353.62,30823.92,24903.77,29329.54,24639.07,20469.58,26127.42,33010.7,20518.29,20699.54,22275.08,14067.36,10826.63,29272.2,13881.44,7913.49,7782.85,1007.59,23059.17,23059.17,8837.67,30538.1,14369.79,30556.38,24423.46,24676.98,24716.85,37150.35
