,Distribution South,Distribution North,The Warehouse Atrium,The Warehouse Newmarket,The Warehouse Royal Oak,The Warehouse St Lukes,The Warehouse Mt Roskill,The Warehouse Lunn Avenue,The Warehouse Sylvia Park,The Warehouse New Lynn,The Warehouse Glenfield Mall,The Warehouse WestCity,The Warehouse Westgate,The Warehouse Lincoln Road,The Warehouse Milford,The Warehouse Albany,The Warehouse Pakuranga,The Warehouse Botany Downs,The Warehouse Manukau,The Warehouse Airport,The Warehouse Clendon,The Warehouse Takanini,Noel Leeming Penrose Clearance,Noel Leeming Lunn Avenue,Noel Leeming Sylvia Park,Noel Leeming Newmarket,Noel Leeming Royal Oak,Noel Leeming Botany,Noel Leeming Queen Street,Noel Leeming St Lukes Westfield,Noel Leeming St Lukes Mega,Noel Leeming New Lynn,Noel Leeming Glenfield Clearance,Noel Leeming Wairau Park,Noel Leeming Henderson,Noel Leeming Albany,Noel Leeming Massey,Noel Leeming Ormiston,Noel Leeming Papatoetoe,Noel Leeming Manukau Supa Centre,Noel Leeming Manukau Westfield,Noel Leeming Papakura
Distribution South,0,2516.03,2098.37,2000.39,1319.81,1790.01,1425.47,1754.36,1401.26,1979.91,2989.23,2485.85,2428.83,2424.76,2942.21,3163.57,1743.36,1477.45,525.5,1105.72,371.44,1270.26,1613.94,1761.35,1392.62,1821.19,1341.35,1463.09,2072.83,1809.53,1822.72,1939.11,2695.65,2695.65,2441.96,3132.54,2396.44,1246.62,817.86,628.64,511.63,1509.17
Distribution North,2644.78,0,1031.38,1141.44,1541.29,1362.1,1633.95,1635.07,1655.1,1807.12,721.68,2256.63,1428.45,1923.67,674.65,896.02,1855.19,2430.66,2211.44,2497.29,2860.98,2732.64,1533.4,1628.1,1646.46,1061.38,1536.63,2421.98,922.11,1359.08,1394.81,1839.12,428.09,428.09,1940.86,864.98,1396.07,2623.08,2067.24,2283.77,2231.26,2971.55
The Warehouse Atrium,2107.96,835.17,0,604.61,1004.46,834.09,1105.95,1098.25,1118.27,1279.11,1308.37,1573.98,1516.96,1512.89,1261.34,1482.71,1318.36,1893.83,1674.61,1969.28,2324.16,2195.82,996.57,1091.27,1109.64,524.56,999.81,1885.15,92.11,831.07,866.8,1311.11,1014.78,1014.78,1530.09,1451.68,1484.57,2086.26,1530.41,1746.95,1694.43,2434.73
The Warehouse Newmarket,1868.2,1044.75,627.09,0,731.9,863.88,1135.74,858.49,878.51,1308.91,1517.95,1603.77,1546.75,1542.68,1470.93,1692.3,1078.6,1654.07,1434.85,1999.07,2084.4,1956.06,756.81,851.52,869.88,163.23,727.24,1645.39,505.2,860.87,896.59,1340.91,1224.37,1224.37,1559.88,1661.26,1514.36,1846.5,1290.65,1507.19,1454.67,2194.97
The Warehouse Royal Oak,1305.15,1400.51,982.85,720.15,0,706.6,551.79,934.97,975,1106.23,1873.71,1612.18,1555.15,1551.09,1826.68,2048.05,1182.65,1758.12,1200.3,971.84,1521.35,1832.68,618.46,928,966.36,616.59,21.54,2153.21,957.31,726.12,739.31,1065.43,1580.12,1580.12,1568.29,2017.01,1522.77,1936.74,1265.29,1226.73,1195.16,2071.59
The Warehouse St Lukes,1809.37,1289.78,800.5,946.75,719.21,0,432.23,1440.39,1460.41,933.02,1762.98,1318.05,1261.03,1256.96,1715.96,1937.33,1660.5,2235.97,1704.51,1476.06,2025.56,2336.89,1338.71,1433.42,1451.78,866.7,714.56,2227.29,901.95,91.66,87.08,892.21,1469.4,1469.4,1274.16,1906.29,1228.64,2428.4,1872.55,1730.95,1699.38,2575.81
The Warehouse Mt Roskill,1443.68,1514.94,1161.84,1171.91,510.69,416.87,0,1665.55,1685.57,812.83,1988.14,1366.16,1309.13,1305.07,1941.12,2162.49,1485.52,2306.11,1338.83,1110.38,1659.88,1971.21,1024.78,1658.57,1676.93,1091.86,532.23,2291.75,1127.11,436.39,449.58,772.03,1694.56,1694.56,1322.26,2131.45,1276.74,2075.28,1403.83,1365.26,1333.69,2210.12
The Warehouse Lunn Avenue,1706.32,1502.07,1084.42,883.76,927.62,1321.21,1593.06,0,584.7,1766.23,1975.28,2061.09,2004.07,2000.01,1928.25,2149.62,697.34,1281.08,1272.98,1779.61,1922.52,1794.18,450.62,6.99,576.06,807.23,906.08,1272.4,1058.88,1318.19,1353.92,1798.23,1681.69,1681.69,2017.2,2118.58,1971.68,1684.63,1128.78,1345.31,1292.8,2033.09
The Warehouse Sylvia Park,1311.13,1489.49,1071.84,973.85,1107.12,1308.63,1580.49,579.44,0,1753.65,1962.7,2048.52,1991.49,1987.43,1915.67,2137.04,684.55,1271.59,877.78,1755.02,1527.33,1398.99,357.4,586.43,8.64,794.65,961.19,1385.96,1046.3,1305.61,1341.34,1785.65,1669.11,1669.11,2004.63,2106,1959.11,1289.43,733.58,950.12,897.6,1637.9
The Warehouse New Lynn,2111.59,1825.93,1472.83,1482.91,1178.6,979.77,875.34,1976.54,1996.57,0,2299.14,781.95,1355.83,1127.29,2252.11,2441.89,2196.66,2772.12,2006.74,1778.29,2327.79,2639.12,1874.86,1969.57,1987.93,1402.85,1200.14,2763.45,1438.11,999.29,1012.48,195.21,2005.55,2005.55,1144.49,2410.85,1323.44,2743.19,2071.74,2033.17,2001.6,2878.03
