Type,Location,Store,Long,Lat
Distribution,South,Distribution South,174.8654634,-37.0118884
Distribution,North,Distribution North,174.7589806,-36.8021921
The Warehouse,Atrium,The Warehouse Atrium,174.7638746,-36.8497757
The Warehouse,Newmarket,The Warehouse Newmarket,174.7792632,-36.8659962
The Warehouse,Royal Oak,The Warehouse Royal Oak,174.7700757,-36.9119702
The Warehouse,St Lukes,The Warehouse St Lukes,174.7320745,-36.885328
The Warehouse,Mt Roskill,The Warehouse Mt Roskill,174.7330153,-36.9076198
The Warehouse,Lunn Avenue,The Warehouse Lunn Avenue,174.8327569,-36.8882103
The Warehouse,Sylvia Park,The Warehouse Sylvia Park,174.8422254,-36.9188416
The Warehouse,New Lynn,The Warehouse New Lynn,174.679169,-36.9079475
The Warehouse,Glenfield Mall,The Warehouse Glenfield Mall,174.7221434,-36.7827043
The Warehouse,WestCity,The Warehouse WestCity,174.6313714,-36.8818134
The Warehouse,Westgate,The Warehouse Westgate,174.6115283,-36.8220144
The Warehouse,Lincoln Road,The Warehouse Lincoln Road,174.6299012,-36.8655257
The Warehouse,Milford,The Warehouse Milford,174.7656041,-36.7709908
The Warehouse,Albany,The Warehouse Albany,174.7042775,-36.7299952
The Warehouse,Pakuranga,The Warehouse Pakuranga,174.8716141,-36.9138536
The Warehouse,Botany Downs,The Warehouse Botany Downs,174.9148603,-36.9306193
The Warehouse,Manukau,The Warehouse Manukau,174.8753484,-36.9899245
The Warehouse,Airport,The Warehouse Airport,174.7884719,-36.9969604
The Warehouse,Clendon,The Warehouse Clendon,174.868907,-37.033104
The Warehouse,Takanini,The Warehouse Takanini,174.9316191,-37.0480446
Noel Leeming,Penrose Clearance,Noel Leeming Penrose Clearance,174.8189895,-36.9102126
Noel Leeming,Lunn Avenue,Noel Leeming Lunn Avenue,174.8332249,-36.8881049
Noel Leeming,Sylvia Park,Noel Leeming Sylvia Park,174.8417474,-36.9186396
Noel Leeming,Newmarket,Noel Leeming Newmarket,174.7766579,-36.8727914
Noel Leeming,Royal Oak,Noel Leeming Royal Oak,174.7716105,-36.9122305
Noel Leeming,Botany,Noel Leeming Botany,174.914549,-36.9317968
Noel Leeming,Queen Street,Noel Leeming Queen Street,174.7660259,-36.8473035
Noel Leeming,St Lukes Westfield,Noel Leeming St Lukes Westfield,174.7340358,-36.8833287
Noel Leeming,St Lukes Mega,Noel Leeming St Lukes Mega,174.7305002,-36.884053
Noel Leeming,New Lynn,Noel Leeming New Lynn,174.685724,-36.907654
Noel Leeming,Glenfield Clearance,Noel Leeming Glenfield Clearance,174.7399825,-36.768575
Noel Leeming,Wairau Park,Noel Leeming Wairau Park,174.7399825,-36.768575
Noel Leeming,Henderson,Noel Leeming Henderson,174.6305818,-36.8663149
Noel Leeming,Albany,Noel Leeming Albany,174.7057962,-36.7314478
Noel Leeming,Massey,Noel Leeming Massey,174.6118156,-36.8205076
Noel Leeming,Ormiston,Noel Leeming Ormiston,174.9136804,-36.9647303
Noel Leeming,Papatoetoe,Noel Leeming Papatoetoe,174.8610556,-36.970192
Noel Leeming,Manukau Supa Centre,Noel Leeming Manukau Supa Centre,174.8723147,-36.9909923
Noel Leeming,Manukau Westfield,Noel Leeming Manukau Westfield,174.8811036,-36.9918119
Noel Leeming,Papakura,Noel Leeming Papakura,174.9450384,-37.0632462
